DATE,NGMP12060
2001-01-01,209741.698
2002-01-01,214808.823
2003-01-01,223499.568
2004-01-01,239580.61
2005-01-01,255967.628
2006-01-01,263617.009
2007-01-01,271327.784
2008-01-01,267967.059
2009-01-01,261817.867
2010-01-01,268736.276
2011-01-01,277405.509
2012-01-01,287570.424
2013-01-01,299918.186
2014-01-01,319893.192
2015-01-01,340334.196
2016-01-01,361214.621
2017-01-01,380224.121
2018-01-01,397261.292
